Name                    Path                                            Status
intro1                  exercises/intro/intro1.rs                       Pending
intro2                  exercises/intro/intro2.rs                       Pending
variables1              exercises/variables/variables1.rs               Pending
variables2              exercises/variables/variables2.rs               Pending
variables3              exercises/variables/variables3.rs               Pending
variables4              exercises/variables/variables4.rs               Pending
variables5              exercises/variables/variables5.rs               Pending
variables6              exercises/variables/variables6.rs               Pending
functions1              exercises/functions/functions1.rs               Pending
functions2              exercises/functions/functions2.rs               Pending
functions3              exercises/functions/functions3.rs               Pending
functions4              exercises/functions/functions4.rs               Pending
functions5              exercises/functions/functions5.rs               Pending
if1                     exercises/if/if1.rs                             Pending
if2                     exercises/if/if2.rs                             Pending
quiz1                   exercises/quiz1.rs                              Pending
primitive_types1        exercises/primitive_types/primitive_types1.rs   Pending
primitive_types2        exercises/primitive_types/primitive_types2.rs   Pending
primitive_types3        exercises/primitive_types/primitive_types3.rs   Pending
primitive_types4        exercises/primitive_types/primitive_types4.rs   Pending
primitive_types5        exercises/primitive_types/primitive_types5.rs   Pending
primitive_types6        exercises/primitive_types/primitive_types6.rs   Pending
vecs1                   exercises/vecs/vecs1.rs                         Pending
vecs2                   exercises/vecs/vecs2.rs                         Pending
move_semantics1         exercises/move_semantics/move_semantics1.rs     Pending
move_semantics2         exercises/move_semantics/move_semantics2.rs     Pending
move_semantics3         exercises/move_semantics/move_semantics3.rs     Pending
move_semantics4         exercises/move_semantics/move_semantics4.rs     Pending
move_semantics5         exercises/move_semantics/move_semantics5.rs     Pending
move_semantics6         exercises/move_semantics/move_semantics6.rs     Pending
structs1                exercises/structs/structs1.rs                   Pending
structs2                exercises/structs/structs2.rs                   Pending
structs3                exercises/structs/structs3.rs                   Pending
enums1                  exercises/enums/enums1.rs                       Pending
enums2                  exercises/enums/enums2.rs                       Pending
enums3                  exercises/enums/enums3.rs                       Pending
strings1                exercises/strings/strings1.rs                   Pending
strings2                exercises/strings/strings2.rs                   Pending
strings3                exercises/strings/strings3.rs                   Pending
strings4                exercises/strings/strings4.rs                   Pending
modules1                exercises/modules/modules1.rs                   Pending
modules2                exercises/modules/modules2.rs                   Pending
modules3                exercises/modules/modules3.rs                   Pending
hashmaps1               exercises/hashmaps/hashmaps1.rs                 Pending
hashmaps2               exercises/hashmaps/hashmaps2.rs                 Pending
hashmaps3               exercises/hashmaps/hashmaps3.rs                 Pending
quiz2                   exercises/quiz2.rs                              Pending
options1                exercises/options/options1.rs                   Pending
options2                exercises/options/options2.rs                   Pending
options3                exercises/options/options3.rs                   Pending
errors1                 exercises/error_handling/errors1.rs             Pending
errors2                 exercises/error_handling/errors2.rs             Pending
errors3                 exercises/error_handling/errors3.rs             Pending
errors4                 exercises/error_handling/errors4.rs             Pending
errors5                 exercises/error_handling/errors5.rs             Pending
errors6                 exercises/error_handling/errors6.rs             Pending
generics1               exercises/generics/generics1.rs                 Pending
generics2               exercises/generics/generics2.rs                 Pending
traits1                 exercises/traits/traits1.rs                     Pending
traits2                 exercises/traits/traits2.rs                     Pending
traits3                 exercises/traits/traits3.rs                     Pending
traits4                 exercises/traits/traits4.rs                     Pending
traits5                 exercises/traits/traits5.rs                     Pending
quiz3                   exercises/quiz3.rs                              Pending
tests1                  exercises/tests/tests1.rs                       Pending
tests2                  exercises/tests/tests2.rs                       Pending
tests3                  exercises/tests/tests3.rs                       Pending
lifetimes1              exercises/lifetimes/lifetimes1.rs               Pending
lifetimes2              exercises/lifetimes/lifetimes2.rs               Pending
lifetimes3              exercises/lifetimes/lifetimes3.rs               Pending
iterators1              exercises/standard_library_types/iterators1.rs  Pending
iterators2              exercises/standard_library_types/iterators2.rs  Pending
iterators3              exercises/standard_library_types/iterators3.rs  Pending
iterators4              exercises/standard_library_types/iterators4.rs  Pending
iterators5              exercises/standard_library_types/iterators5.rs  Pending
box1                    exercises/standard_library_types/box1.rs        Pending
arc1                    exercises/standard_library_types/arc1.rs        Pending
rc1                     exercises/standard_library_types/rc1.rs         Pending
cow1                    exercises/standard_library_types/cow1.rs        Pending
threads1                exercises/threads/threads1.rs                   Pending
threads2                exercises/threads/threads2.rs                   Pending
threads3                exercises/threads/threads3.rs                   Pending
macros1                 exercises/macros/macros1.rs                     Pending
macros2                 exercises/macros/macros2.rs                     Pending
macros3                 exercises/macros/macros3.rs                     Pending
macros4                 exercises/macros/macros4.rs                     Pending
clippy1                 exercises/clippy/clippy1.rs                     Pending
clippy2                 exercises/clippy/clippy2.rs                     Pending
clippy3                 exercises/clippy/clippy3.rs                     Pending
using_as                exercises/conversions/using_as.rs               Pending
from_into               exercises/conversions/from_into.rs              Pending
from_str                exercises/conversions/from_str.rs               Pending
try_from_into           exercises/conversions/try_from_into.rs          Pending
as_ref_mut              exercises/conversions/as_ref_mut.rs             Pending
